,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
634,16.88,116.82,4.73,33.42,25.0,49.59,0.71,4.02,13.28,0.66,3.4,90.0
636,46.14,95.12,5.1,26.83,541.0,28.28,1.08,5.66,14.51,0.89,4.03,83.0
637,55.24,71.0,5.51,26.2,819.0,36.38,1.13,4.08,15.05,0.66,2.89,114.0
638,75.42,121.03,3.75,17.34,95.0,55.12,0.46,4.5,31.09,0.4,1.68,150.0
646,27.31,91.1,10.57,25.65,62.0,38.9,0.56,4.59,23.0,0.33,1.18,91.0
647,13.51,85.18,7.51,27.68,36.0,15.05,1.11,4.26,15.26,0.33,0.93,83.0
648,18.96,72.83,6.87,26.66,39.0,15.09,0.85,4.12,14.68,0.32,0.97,129.0
649,14.61,70.21,6.43,24.16,59.0,15.11,0.73,3.97,15.67,0.36,1.42,78.0
650,21.3,74.85,9.64,28.0,52.0,15.12,1.08,4.5,15.17,0.6,2.55,75.0
651,25.15,66.38,14.37,31.42,39.0,15.12,1.97,3.65,12.04,0.38,1.37,141.0
658,62.36,181.92,16.5,38.24,28.0,15.14,0.37,6.46,23.58,2.63,3.25,75.0
659,62.74,191.9,16.25,35.42,185.0,19.99,1.12,8.07,23.86,2.87,0.91,132.0
660,97.17,195.61,15.42,33.75,174.0,39.56,0.75,10.52,10.54,3.28,0.54,176.0
661,67.85,184.81,17.7,38.05,152.0,24.4,1.2,7.36,31.08,3.12,1.78,184.0
662,58.78,179.79,17.97,41.96,99.0,23.24,1.18,9.87,22.16,1.38,2.0,127.0
663,80.99,224.1,14.17,36.1,269.0,33.13,1.64,8.46,22.28,1.25,2.84,163.0
664,68.17,116.92,8.27,44.78,543.0,40.67,1.16,4.9,25.13,1.07,1.84,164.0
665,59.61,137.68,8.04,46.57,453.0,37.52,0.83,4.28,29.54,1.01,1.44,132.0
666,62.38,123.91,12.29,46.43,385.0,34.9,0.8,9.04,44.86,0.65,1.39,116.0
667,78.74,130.99,10.07,44.4,309.0,35.3,3.1,4.31,45.04,1.07,1.94,174.0
668,60.79,130.15,9.82,38.53,205.0,41.04,2.97,3.75,23.8,1.77,4.15,188.0
669,36.92,95.71,13.39,34.8,82.0,38.42,0.55,4.92,21.69,0.47,1.31,88.0
671,31.26,142.2,16.42,39.54,32.0,36.28,0.42,3.29,26.39,0.93,2.07,57.0
672,34.79,111.6,22.62,41.17,121.0,37.76,1.37,2.49,25.26,0.69,3.73,82.0
673,55.92,118.8,12.26,37.52,355.0,36.05,0.85,4.84,30.68,1.81,3.24,88.0
674,55.03,117.02,8.25,29.98,0.0,28.78,1.16,4.69,34.67,2.3,3.01,111.0
675,41.23,69.46,2.8,27.4,0.0,27.28,0.7,3.85,37.6,1.9,2.37,90.0
676,43.91,100.27,3.56,31.23,0.0,29.92,0.83,2.83,36.94,1.63,2.44,78.0
677,52.08,109.02,8.9,32.63,94.0,29.57,0.83,6.29,37.14,1.28,2.0,94.0
678,46.94,120.41,7.62,28.38,0.0,28.86,0.62,5.16,46.92,1.16,2.21,95.0
679,49.03,130.54,8.22,30.8,0.0,27.67,0.76,6.34,62.56,1.44,2.65,112.0
680,57.78,150.94,10.46,41.03,0.0,29.6,0.73,7.64,71.14,1.39,2.11,124.0
681,52.72,127.44,7.61,37.57,0.0,30.49,0.72,8.28,77.53,1.02,1.64,122.0
682,38.42,121.18,10.83,38.81,0.0,39.82,0.63,4.93,57.77,0.75,1.49,99.0
683,29.96,82.83,10.55,36.67,0.0,31.52,0.37,5.26,14.2,0.62,1.54,44.0
684,27.64,56.85,7.72,25.66,0.0,14.03,0.91,5.02,15.65,0.79,1.91,38.0
685,35.8,130.25,10.26,25.46,0.0,24.15,1.9,5.08,22.33,0.78,4.12,102.0
686,40.13,133.97,11.92,34.52,0.0,34.63,0.99,2.97,48.83,0.67,1.26,189.0
687,43.6,135.71,8.35,30.86,0.0,24.55,0.57,2.5,56.67,0.8,1.74,101.0
690,102.01,182.79,14.76,44.31,0.0,31.02,0.69,3.9,44.48,1.09,1.9,120.0
691,91.6,141.03,9.41,31.76,0.0,39.39,3.0,7.56,16.37,1.97,2.56,101.0
692,47.76,173.09,10.82,39.92,0.0,39.88,2.6,6.66,33.28,3.07,7.77,335.0
693,86.62,152.15,9.06,32.55,0.0,19.16,1.05,4.88,46.95,6.35,6.71,140.0
694,46.12,158.04,12.75,33.94,0.0,17.7,1.22,4.01,43.76,5.39,2.86,133.0
695,46.87,164.12,14.9,36.46,0.0,17.32,0.89,3.63,38.04,7.38,3.73,113.0
696,53.71,171.52,17.18,37.49,0.0,17.2,0.85,3.52,35.33,8.44,3.73,117.0
697,49.9,176.99,15.78,38.97,0.0,27.25,0.67,6.79,26.27,8.92,5.41,124.0
698,59.3,194.37,11.64,37.55,0.0,27.55,0.81,11.63,31.34,11.69,4.73,120.0
699,49.69,170.26,9.74,31.49,0.0,26.58,1.88,5.34,28.52,8.45,4.38,160.0
700,45.84,137.86,12.77,26.72,0.0,27.97,0.87,4.93,39.83,6.72,3.94,114.0
701,22.14,78.55,10.95,26.06,0.0,30.0,0.72,3.55,20.83,3.61,9.26,103.0
702,18.3,102.86,14.52,30.35,0.0,37.49,0.82,4.06,11.42,2.54,2.86,67.0
703,24.44,136.05,10.4,23.2,0.0,28.44,1.66,3.15,8.61,2.4,3.85,125.0
704,23.63,124.78,14.4,30.2,0.0,29.23,2.95,4.43,9.8,2.5,7.48,209.0
705,36.97,155.51,14.79,44.45,0.0,27.6,1.7,3.0,15.37,3.56,5.03,200.0
706,40.72,132.73,14.55,44.74,0.0,26.04,0.65,3.63,20.32,4.71,2.45,101.0
707,32.59,128.54,15.8,43.67,0.0,26.6,0.69,5.58,16.42,3.78,2.55,85.0
